"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AANAT",3.099208512861,1.70671986061362,0.880185459547121,1.93904573417035,0.0524957695265899,0.096993174697163
"AAR2",971.511573879816,-0.30092390953374,0.142599518784794,-2.11027296654404,0.0348348507168209,0.0689985667548647
"AARD",80.4190505540072,3.70194156045928,0.483172973028968,7.66173144423235,1.83442925640185e-14,4.40704293178877e-13
"AARS",2860.22831734933,-0.367965229282914,0.213882985170602,-1.72040440238577,0.0853589573221254,0.14462150151808
"AARS2",766.729332095184,0.257430859172407,0.20100766018273,1.28070173513977,0.200298450092752,0.289151094852806
"AARSD1",185.444793256011,0.432780908071617,0.456422766641628,0.948201842024734,0.343026709599766,0.442749720698557
"AASDH",629.540772525169,-0.867991310360928,0.443417993079523,-1.95750132810976,0.0502885557911259,0.0935641499762505
"AASDHPPT",982.511808827524,-1.16911741648127,0.244197418800089,-4.78759121298642,1.68795027714272e-06,1.08112326042187e-05
"AASS",143.426994109934,-0.759788987331585,0.711562365349198,-1.06777567832543,0.285621711668521,0.382506850490805
"AATF",1735.76044029779,-1.00741446704114,0.223524250287909,-4.50695826400734,6.57635626937369e-06,3.69948152719304e-05
"AATK",173.507531503921,0.109542445383765,0.280146206380608,0.391018842621556,0.695783308071601,0.767529957669202
"AB015752.3",0.639253868838721,0.551725169769456,1.85953824092572,0.296700093403186,0.766695485721523,0.825150004338093
"AB019438.66",0.654715622568384,2.3315045786467,1.75390994437114,1.32931829603296,0.183742980570925,0.269763674525402
"AB019441.29",62.7612072198193,-1.98534097823401,0.487251203563657,-4.07457377983601,4.60986971553844e-05,0.000214814858732406
"ABAT",1161.56268721313,0.861394361977277,0.835048931071986,1.03154956545058,0.302283177371303,0.399991857387046
"ABCA1",162.953553438917,0.669073149771112,0.552699727746174,1.21055451302553,0.226066186355968,0.318940257063634
"ABCA10",171.846196537909,-3.06589942200426,0.761711098454651,-4.0250160831637,5.69714216557006e-05,0.000259048591086181
"ABCA11P",83.9915154422586,0.320692865533703,0.402624655151083,0.796505781329673,0.425738116547569,0.52501943425367
"ABCA12",141.322800688464,-1.50180409391163,1.22290127016069,-1.22806650917477,0.219422001957593,0.311373026628546
"ABCA13",25.5259673188534,-3.76802361374199,0.733280516850817,-5.13858411229079,2.76816283172888e-07,2.0870559564968e-06
"ABCA17P",7.02735957729811,2.35253676691037,0.58371762048713,4.03026512193876,5.57139765620294e-05,0.000254157527011515
"ABCA2",1027.48978483931,1.69762229524825,0.452028809929776,3.75556216319923,0.000172952824738536,0.000694294112975658
"ABCA3",1502.57350781853,2.3101749874474,0.261382026760745,8.83830849456994,9.7178636316346e-19,4.0559752029109e-17
"ABCA4",10.7438011645451,-1.20390438032384,1.14327426602967,-1.05303199424292,0.292326328844645,0.389489873251937
"ABCA5",4439.82437662003,-3.01684166552326,0.547261388221376,-5.51261559915297,3.53539831436275e-08,3.16263206854894e-07
"ABCA6",37.6707150654043,-3.9677292303806,0.918767516212853,-4.31853451538593,1.5706866119072e-05,8.16171207888308e-05
"ABCA7",732.195715781168,-0.61458149180158,0.481913641639266,-1.27529382590423,0.202205262232269,0.291347277053956
"ABCA8",582.790526484464,-7.73194999699079,0.981711838640312,-7.87598732403969,3.38062514092406e-15,9.05515339471269e-14
"ABCA9",68.2433378473412,-4.01952287013684,0.759081514546362,-5.29524536312673,1.18856710665813e-07,9.63393929582263e-07
"ABCA9-AS1",1.83878586040592,3.29081908468865,2.22353985670914,1.47999104884906,0.13887563548158,0.21540397529574
"ABCB10",727.628219055702,-0.320316406860084,0.16801207204357,-1.90650828219664,0.056584292169161,0.103156864607759
"ABCB10P1",0.700686441317958,0.288013850952843,1.87337038804534,0.153741007539547,0.87781394980279,0.910233954771775
"ABCB4",1.67844463895368,-2.8680666262018,1.81567599055931,-1.57961367618146,0.114195365343399,0.183442049429159
"ABCB5",7.67375502475069,0.0399402105639542,0.561577390418858,0.0711214718494354,0.943301079376697,0.958102258596904
